17.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
18.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
18.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
19.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
19.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
20.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
20.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
21.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
21.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
22.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
22.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
23.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
23.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
24.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
24.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
25.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
25.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
26.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
26.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
27.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
27.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
28.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
28.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
29.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
29.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
30.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
30.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
31.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
31.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
32.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
32.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
33.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
33.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
34.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
34.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
35.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
35.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
36.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
36.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
37.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
37.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
38.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
38.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
39.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
39.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
40.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
40.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
41.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
41.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
42.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
42.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
43.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
43.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
44.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
44.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
45.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
45.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
46.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
46.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
47.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
47.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
48.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
48.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
49.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
49.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3965)
0.0000 (1.5000,-1.5000) (1.5000,-1.0000) (1.5000,-0.5000)
0.5000 (1.2909,-1.2798) (1.3000,-0.6464) (1.3000,-0.1050)
1.0000 (1.1954,-0.9211) (1.2000,-0.3040) (1.2000,0.2819)
1.5000 (1.1477,-0.5789) (1.1500,0.0172) (1.1439,0.6888)
2.0000 (1.1239,-0.2590) (1.1250,0.3099) (1.0916,1.0679)
2.5000 (1.1119,0.0343) (1.1125,0.5692) (0.6865,1.3610)
3.0000 (1.1060,0.2981) (1.1057,0.8054) (0.2813,1.6540)
3.5000 (1.1030,0.5312) (1.0999,1.0048) (-0.1238,1.9470)
4.0000 (1.1015,0.7336) (1.0877,1.1871) (-0.4369,2.1735)
4.5000 (1.1005,0.9095) (0.6016,1.3042) (-0.5934,2.2867)
5.0000 (1.0997,1.0583) (0.1155,1.4212) (-0.6717,2.3434)
5.5000 (0.6813,1.2969) (-0.3706,1.5383) (-0.7109,2.3717)
6.0000 (0.1905,1.3923) (-0.8103,1.6441) (-0.7304,2.3858)
6.5000 (-0.3003,1.4877) (-1.0301,1.6971) (-0.7402,2.3929)
7.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
7.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
8.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
8.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
9.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
9.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
10.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
10.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
11.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
11.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
12.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
12.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
13.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
13.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
14.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
14.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
15.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
15.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
16.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
16.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
17.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
17.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
18.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
18.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
19.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
19.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
20.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
20.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
21.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
21.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
22.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
22.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
23.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
23.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
24.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
24.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
25.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
25.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
26.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
26.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
27.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
27.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
28.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
28.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
29.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
29.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
30.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
30.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
31.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
31.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
32.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
32.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
33.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
33.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
34.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
34.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
35.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
35.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
36.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
36.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
37.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
37.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
38.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
38.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
39.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
39.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
40.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
40.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
41.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
41.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
42.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
42.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
43.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
43.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
44.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
44.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
45.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
45.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
46.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
46.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
47.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
47.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
48.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
48.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
49.0000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
49.5000 (-0.7911,1.5831) (-1.1400,1.7235) (-0.7451,2.3964)
0.0000 (1.5000,-1.5000) (1.5000,-1.0000) (1.5000,-0.5000)
0.5000 (1.2909,-1.2798) (1.3000,-0.6464) (1.3000,-0.1050)
1.0000 (1.1954,-0.9211) (1.2000,-0.3040) (1.2000,0.2820)
1.5000 (1.1477,-0.5789) (1.1500,0.0172) (1.1439,0.6888)
2.0000 (1.1239,-0.2590) (1.1250,0.3099) (1.0916,1.0679)
2.5000 (1.1119,0.0343) (1.1125,0.5692) (0.6865,1.3610)
3.0000 (1.1060,0.2982) (1.1057,0.8055) (0.2814,1.6540)
3.5000 (1.1030,0.5312) (1.0999,1.0048) (-0.1238,1.9470)
4.0000 (1.1015,0.7336) (1.0876,1.1872) (-0.4369,2.1735)
4.5000 (1.1005,0.9095) (0.6016,1.3042) (-0.5935,2.2867)
5.0000 (1.0997,1.0583) (0.1154,1.4212) (-0.6717,2.3434)
5.5000 (0.6813,1.2969) (-0.3706,1.5382) (-0.7108,2.3717)
6.0000 (0.1905,1.3923) (-0.8103,1.6441) (-0.7304,2.3858)
6.5000 (-0.3003,1.4877) (-1.0301,1.6971) (-0.7402,2.3929)
7.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
7.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
8.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
8.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
9.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
9.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
10.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
10.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
11.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
11.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
12.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
12.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
13.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
13.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
14.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
14.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
15.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
15.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
16.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
16.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
17.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
17.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
18.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
18.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
19.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
19.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
20.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
20.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
21.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
21.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
22.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
22.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
23.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
23.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
24.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
24.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
25.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
25.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
26.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
26.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
27.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
27.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
28.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
28.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
29.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
29.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
30.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
30.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
31.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
31.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
32.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
32.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
33.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
33.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
34.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
34.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
35.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
35.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
36.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
36.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
37.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
37.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
38.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
38.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
39.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
39.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
40.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
40.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
41.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
41.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
42.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
42.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
43.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
43.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
44.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
44.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
45.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
45.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
46.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
46.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
47.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
47.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
48.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
48.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
49.0000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
49.5000 (-0.7911,1.5831) (-1.1401,1.7235) (-0.7451,2.3965)
0.0000 (1.5000,-1.5000) (1.5000,-1.0000) (1.5000,-0.5000)
0.5000 (1.2909,-1.2798) (1.3000,-0.6465) (1.3000,-0.1049)
1.0000 (1.1955,-0.9210) (1.2000,-0.3041) (1.2000,0.2820)
1.5000 (1.1477,-0.5788) (1.1500,0.0172) (1.1439,0.6888)
2.0000 (1.1239,-0.2589) (1.1250,0.3099) (1.0916,1.0679)
2.5000 (1.1119,0.0344) (1.1125,0.5691) (0.6865,1.3610)
3.0000 (1.1060,0.2982) (1.1057,0.8054) (0.2813,1.6540)
3.5000 (1.1030,0.5312) (1.0999,1.0047) (-0.1238,1.9471)
4.0000 (1.1015,0.7337) (1.0880,1.1864) (-0.4369,2.1735)
4.5000 (1.1005,0.9095) (0.6019,1.3036) (-0.5934,2.2868)
5.0000 (1.0997,1.0583) (0.1158,1.4208) (-0.6718,2.3434)
5.5000 (0.6812,1.2968) (-0.3703,1.5379) (-0.7109,2.3717)
6.0000 (0.1904,1.3922) (-0.8101,1.6439) (-0.7304,2.3858)
6.5000 (-0.3004,1.4876) (-1.0301,1.6970) (-0.7402,2.3929)
7.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
7.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
8.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
8.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
9.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
9.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
10.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
10.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
11.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
11.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
12.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
12.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
13.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
13.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
14.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
14.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
15.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
15.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
16.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
16.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
17.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
17.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
18.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
18.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
19.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
19.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
20.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
20.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
21.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
21.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
22.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
22.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
23.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
23.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
24.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
24.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
25.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
25.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
26.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
26.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
27.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
27.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
28.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
28.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
29.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
29.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
30.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
30.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
31.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
31.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
32.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
32.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
33.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
33.5000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
34.0000 (-0.7912,1.5830) (-1.1400,1.7235) (-0.7451,2.3964)
